評論者,評等,評語
Owen Hsu,3,海鮮類還算可以，但牛肉口感不好 乾乾的，希望食材品質可以再提升一些~
Liu Y.Y.,4,昨天同學會，整間餐廳座無虛席，但因場地廣潤，不會覺得太擁擠。菜色很多，建議全程先走一趟，先了解食品擺設的地點，再依自己的喜好選擇，以免後來才看到自己想吃的食物，但己吃飽了。白蝦丶烤蝦新鮮好吃，大堆。螃蟹肉不飽足丶九孔個頭太少丶牛排不夠嫰，不堆。冰淇淋是「H」的，值得嚐試。
Ka Mo,4,(由 Google 提供翻譯) 這是一家自助餐廳，供應午餐和晚餐。有很多菜餚，包括壽司和天婦羅，非常美味，而且可以無限暢飲台灣啤酒。受歡迎的菜似乎需要一些時間才能添加。 …更多(由 Google 提供翻譯) 這是一家自助餐廳，供應午餐和晚餐。有很多菜餚，包括壽司和天婦羅，非常美味，而且可以無限暢飲台灣啤酒。受歡迎的菜似乎需要一些時間才能添加。(原始評論)ランチタイム、ディナータイムとも、ブッフェのお店です。料理の種類は多く、お寿司や天ぷらもあり、結構美味しかったですし、台湾ビールが飲み放題なのも良かったです。人気のある料理は、追加されるまで時間がかかるようでした。
yang parly,1,提前訂位到現場沒記錄，非常不愉快的經驗，永遠排除。
陳金盛,5,跟太太兒子聚餐當兵退伍了
陳韋豪,4,(由 Google 提供翻譯) 下午茶(原始評論)下午茶
很憂鬱,5,來大直用餐非常多次，看到其他網友給的差評意見，感同身受，讓最多人詬病的就是廚師態度差跟被服務生使眼色，其實也能猜到是在說那幾個，平日客人少，大多時間都是閒置狀態，沒事就相互聊天打發時間，忽然有客人去打擾，難免心情會不好，或許這就是大直店生意一直都很差的原因，但這都不影響我來大直用餐的意願，人少吃起來就是特別輕鬆愉快，有沒有服務，態度好不好，根本不重要。
江昇達,1,真的是爛透了!食物空盤的時間超過30分鐘 連杯子也缺……問廚師幾時補食材 態度有夠差 直接回覆有了自然會出 這是哪門子吃到飽餐廳啊 服務真是差勁
Mario Chang,5,"在下常常在這用餐,優點是氣氛非常悠閒,客人很少,空間寬敞,在大台北市便宜吃可以多樣粗飽的好去處,推推"
Paul T,5,"(由 Google 提供翻譯) 這是一個非常好的融合自助餐的好地方。這個地方按生，油炸，蒸，炒，烤，沙拉，飲料，甜點和其他雜項分類。還供應雞尾酒和啤酒。我們真的很喜歡這個地方。請務必提前在他們的網站上在線預訂。預計每人周末晚餐每人支付約1k。請享用！ …更多(由 Google 提供翻譯) 這是一個非常好的融合自助餐的好地方。這個地方按生，油炸，蒸，炒，烤，沙拉，飲料，甜點和其他雜項分類。還供應雞尾酒和啤酒。我們真的很喜歡這個地方。請務必提前在他們的網站上在線預訂。預計每人周末晚餐每人支付約1k。請享用！(原始評論)It's a really nice place to have fusion buffet.  The place is sorted by raw, fried, steamed, stirfried, baked, salad, drinks, desserts and other misc items.  They also serve cocktails and beer on tap.  We really love this place.  Make sure to make reservation online at their website in advance.  Expect to pay about 1k per person on the weekend dinner per person. Enjoy!"
林家泰,5,空間寬敞，但沒有其他店的人潮，所以取餐不用排太久，至於餐點品質不輸五星級飯店，非常實惠。
Clouder Wang,5,選擇繁多每一樣佳餚都很好吃值得一試的自助餐
Zhuo Ying Sie,4,(由 Google 提供翻譯) 好好吃(原始評論)好好吃
陳奕宏,1,三杯小捲有蟑螂 ，生魚片有魚刺...
Smallufo Huang,4,(由 Google 提供翻譯) 希望能有更多素食(原始評論)希望能有更多素食
陳奕宏,1,"三杯小卷有蟑螂 , 生魚片有魚刺"
Linda Pan,4,"(由 Google 提供翻譯) 不錯，所有你可以吃的餐廳。比q平方有更多的變化，我猜是因為位置的大小。非常適合團體用餐，特別是當您無法決定要吃什麼時，因為這裡有很多種類和選擇。這個地方總是擠滿了人，所以記得要預約。預訂後我們不得不排隊等候，所以要做好準備！ …更多(由 Google 提供翻譯) 不錯，所有你可以吃的餐廳。比q平方有更多的變化，我猜是因為位置的大小。非常適合團體用餐，特別是當您無法決定要吃什麼時，因為這裡有很多種類和選擇。這個地方總是擠滿了人，所以記得要預約。預訂後我們不得不排隊等候，所以要做好準備！(原始評論)Nice all you can eat restaurant. Have more variety than the one in q square, my guess is because of the location size. Nice plate for groups, specifically when you can't decide what to eat, since theres lots of variety and choices available. The place is always packed so remember to make reservations. We had to wait in line even after making reservations, so be prepared!"
FunFun Jo,3,才吃過饗饗再來吃饗食天堂感覺就可以感受到這就是「價差」阿 ⋯⋯更多才吃過饗饗再來吃饗食天堂感覺就可以感受到這就是「價差」阿以前很愛吃饗食天堂因為他是所有吃到飽中覺得CP質算是很高的店他的東西整體來說都比其他間好吃一點樣式很多樣餐廳範圍也很多大東西都不用等很久這點最棒！可以好好的想吃什麼都可以迅速拿到這次去有羊排，小等一下也不錯吃！還有天使紅蝦，但個人覺得非常普通。至於最愛還是骰子牛，必吃現在去沒有炒冰了，好可惜，最愛吃炒冰！但是有新的綿綿冰，抹茶口味跟芒果。個人覺得吃起來很普。牛排、豬腳，都是吃過一次就還好。炸蝦還不錯但真的就輸饗饗。飲料部分，都頗甜的。有啤酒，雞尾酒（？）不確定甜點的部分，其實跟饗饗有點點像，但饗食天堂好吃的比較少。生巧克力有股好吃的酒味。焗烤珂也有，但跟饗饗比小很多。至於價位平日晚餐987。適合部門聚餐、尾牙。很長客滿，建議先訂位。有方案，買十送一。汽車停車可以折抵。摩托車沒有折抵（大爆傻眼）
黃志彬,5,食材新鮮，口味尚可，中式食材區超讚，服務人員態度佳，值得再去的餐廳
伍嘉瑋,5,烤布蕾大推服務態度不錯
郝薔,5,氣氛很好  東西很多  不錯吃
詠a,1,生日還限定時間，幹脆就不要說生日優惠
鄭宇軒,5,好吃~價格部分有點高，不過用餐體驗很重要
ZY CHEN,2,東西好吃，但餐檯廚師臭臉+講話無禮切生魚片的師傅，生魚片用丟的，整個無言..
林東尼,5,超優
Basil C,5,相對其他市區的吃到飽人潮少很多 吃起來比較舒適
黃泳靜,5,"平日時到訪用餐， 相較於京站店用餐區域侷促,這邊真的是優質太多了。用餐起來也不會那麼的緊張及相對的優閒。 餐點還不錯. 烤鴨推薦必嘗。"
YaTing Hung,5,(由 Google 提供翻譯) 好吃(原始評論)好吃
Mini Liu,5,平日沒什麼人 很適合家庭聚會，假日就不太考慮了 人潮太多
吳建源,5,東西新鮮價錢合理 停車方便
李訢妘,4,食物鮮美 選擇多樣化 好吃
Christina Fung,4,每次帶朋友都來這家。下午茶超值。
Guo Lexus,3,東西較少
Hsu瞧瞧唄,5,新鮮品質好又平價的buffet
Cindy Lee,3,"吃到最後大家都在排甜點, 要排很久很久很久...有點無言XD"
簡美珍,4,還不錯的地方，環境乾淨，坐位還不錯，不會很窄，食物新鮮，是會再度去光臨的地方。
六福村,4,吃到飽BUFFET老字號，表現介於4~5顆★，一樣下午茶時段是不會出現「爐烤肋眼牛排」、「螃蟹」等高級食材的。推薦爐烤肋眼牛排(必加旁邊的馬鈴薯泥，不然大扣分)、焗烤干貝(超讚!)、鴨肉捲餅。
陳惠琳,4,服務人員親切，收盤速度快。蛤蜊鮮湯好喝！
Chenhsuan,5,讚個 吃得很很很飽
Frank Wang,4,食物好吃但胃不夠用
Tung Chung,1,被服務生使眼色，感覺很差，不會想再去！公司辦聚餐活動，跟某組長談好價錢9折，結果過幾天店長竟然說改成95折，讓人覺得很火，一點誠信都沒有。後來雖維持原來的9折，可是服務態度也打9折。我不想當奧客，沒誠信的是你們，怎麼會把氣出在我們身上的感覺！算了
Yi Jan,4,多元豐富
照ㄟ,5,假日午餐 不用什麼排隊 還不錯服務也不賴
舞秋楓,4,空間舒適，但總菜色變換少
鍾奇龍,5,食材新鮮，料理美味，一試成主顧
Marveal M -,3,跟一般自助式餐廳沒什大同小異，沒吃過的可以試，服務生都很客氣，停車方便，建議先預訂
Stanley Lin,4,吃完拉肚子....是平日午餐時間到店，用餐空間寬敞不用排隊，平日都沒有什麼人，可以好好享用一餐，盤子也收得很快，服務態度好《熱食》 ⋯⋯更多吃完拉肚子....是平日午餐時間到店，用餐空間寬敞不用排隊，平日都沒有什麼人，可以好好享用一餐，盤子也收得很快，服務態度好《熱食》現煎羊排和白蝦都非常好吃，本季是推台灣菜特色但菜色塔香淡菜、鹽酥蝦都不是主力，反而旁邊的麻辣魷魚最好吃，孜然豬肋排好吃但應該要在餐盤熱一點，烤鴨捲不錯，爐烤牛排和德國豬腳可以小嚐，旁邊的奶油玉米和薯泥都快比肉好吃了，令人驚訝，功夫炒飯也好吃這邊的亮點還有拔斯地瓜非常好吃《炸物》烤雞腿不錯，炸物的部分雖然很快飽，炸蝦和其他茄子秋葵蔬菜都好吃《生食》沙拉菜色多，其他小食ok但沒特別，生魚片種類5-6種，鮭魚沒有以前豐富的油脂感，其他鮪魚 旗魚算中等評價，生牛肉不推《甜點》不多說，最好吃竟然是哈根達斯冰淇淋，可以見得超級弱的蛋糕和提拉米蘇差強人意，完全不是提拉米蘇該有的樣子，只能說產品企劃可以往這邊努力，蛋糕體就是海綿蛋糕各種搭配，還好焦糖葡萄柚非常好吃，算是成為亮點了，蛋糕可以不用浪費味，現做雪花冰就是超甜和色素囉《飲料》沙瓦好難喝，極難喝的色素和調味失望，就改檸檬汁了
汪琬錚,5,東西很豐富，很對得起價格
總司令我的好朋友,5,"想要吃到本質派的炸蝦,一定要來試這間分店"
黃永安,4,吃到飽還是只喜歡饗食的下午茶
Jiang Jiang,5,服務速度快、餐點種類多、好吃
周進梅,4,食材新鮮 停車方便 附近有商場可逛
許進賢,5,上一次來到饗食天堂已經是一年前的事，這次再來覺得什麼都好吃，第一 ⋯⋯更多上一次來到饗食天堂已經是一年前的事，這次再來覺得什麼都好吃，第一 輪吃義大利麵、麵是寬版的夠軟爛，而且吸飽醬汁，口感濃郁而飽滿。他的白斬雞也值得推薦，雞肉軟嫩不柴，有鹹味又不會太鹹。豬腳不是滷的，就像是醉雞的的味道，肉不硬，非常Q軟，令人驚豔的豬腳。各式生魚片，新鮮，美味，入口即化。還有供應各式飲料，啤酒，可是我開車不喝酒。甜點蛋糕類也有多種選擇，種類多到眼花撩亂，配上咖啡不甜不膩，另有各式茶包，不喝咖啡可泡茶喝。哈根達斯冰淇淋是吃到飽餐廳所必備，冰櫃好像有八種口味可供選擇，很好挖不會冰到讓你挖不動，哈根達斯冰淇淋口味有口皆碑不用多說。
胡樂,4,服務人員工作態度一流，收拾餐盤勤快。食材料理多又美味，尤其是現做現煮的最鮮美，飲料有汽水，果汁和生啤酒。當季海鮮魚貨也不錯吃，今天用餐還有秋蟹隻隻肥啊！
olive wang,3,😵😵😵😵
CC K,5,透過klook買平日下午茶，兩人約1200元，這麼高cp值餐點，是我吃過饗食天堂中最超值一家：桌邊服務良好，主廚也耐心指導客戶，食材新鮮，飲品選擇豐富。若是需要代訂，蝦皮打jashkao
egeman,5,(由 Google 提供翻譯) 好吃(原始評論)好吃
小果凍,4,臨進店面  菜色應有盡有，甚至港式飲茶偶爾會推出蘊釀熟成紅酒~^^ 美中不足牛排偏硬
沈育賢,5,來響食天堂我幾乎都吃下午茶因為cp值高，而且一天只要吃一餐就好，生魚片好吃，推炙燒鮭魚生魚片跟炙燒牛肉，淡菜、螺肉、鮮蝦以這價位的吃到飽冷食區也還算不錯，熟食披薩、炒蝦、烤魚也好吃，現煮的蛤蜊湯非常推，最厲害的甜點區，烤布蕾香濃可口，超多人點的。
王小豪,5,食材多樣
遺忘,3,(由 Google 提供翻譯) 普普(原始評論)普普
被要求改暱稱的假假,5,時物品像很多 好吃
龍騎士,1,東西都冷掉了，保溫根本沒有做好，而且我的鐵板蝦居然沒有完全熱，下次一定不會再去吃
吳俊男,3,(由 Google 提供翻譯) 一般般(原始評論)一般般
cha nel,4,Buffet選擇性多樣化 日式料理區是讓我一再光顧的原因 甜點區選擇性也很多 只是吃了一年多菜色有點一成不變 希望偶爾可以有新菜色今天 大直店有提供加價購的波士頓大龍蝦 700g/599元/隻  還算大隻不錯吃
Tsuei Pony,4,東西還蠻多樣化，雖然覺得沒有特別好吃，但整體還算不錯
James Sh,5,(由 Google 提供翻譯) 美味的自助餐和優質的服務(原始評論) …更多(由 Google 提供翻譯) 美味的自助餐和優質的服務(原始評論)Delicious buffet and good service
柏廷林,4,(由 Google 提供翻譯) 不錯的餐廳(原始評論)Nice restaurant
王布丁,5,一訪再訪的店
陳杰瑞,5,(由 Google 提供翻譯) 非常物超所值！很棒(原始評論)非常物超所值！很棒
AX Z,5,氮氣咖啡喝時有小酸，後面特地重泡新的端上來 差很多 很好喝
Hsien Chi hui,5,(由 Google 提供翻譯) 各方面都非常棒，很愉快的用餐心情(原始評論)各方面都非常棒，很愉快的用餐心情
李怡人,4,食材豐富服務快速好吃
cyte,4,補菜及收盤速度快 海鮮新鮮
許暉昇,5,CP值不錯的吃到飽
caresKOKORo,5,樣式多種，服務也不錯也有特約停車場
潘尊簡,3,停車場汽車免費停車，機車要付費…
Jenyu Lin,5,干貝跟羊排大推 炸物放了一段時間還是很酥脆收空餐盤的速度也很滿意
陳冠仁,5,食材很新鮮，而且補菜的速度也很快，服務人員的態度也都很親切，但有一點可惜的是菜色換的頻率不快，兩個禮拜前的菜色和兩個禮拜後都差不多，少了點新鮮感。
呂宗祐,4,2019/08賺到的颱風架用餐算平日費用 ⋯⋯更多2019/08賺到的颱風架用餐算平日費用一樣是饗食天堂這邊的感覺就是比較好
李美觀,3,價位可以，只是大直這間也不知道是設計的關係還怎樣的，油煙味比較濃，會影響食慾
林清桐,4,東西新鮮
Mei-Li Chen,3,螃蟹很不新鮮～經過螃蟹區聞到很腥的味道生牛肉好吃好吃👍 ⋯⋯更多螃蟹很不新鮮～經過螃蟹區聞到很腥的味道生牛肉好吃好吃👍烤布蕾好吃👍烤鴨捲餅很普通烤豬肉有點太硬覺得還好不會特別想來第二次，海港比較好🤣
popo kuo,4,算好吃 小貴
梁曉珊,4,沒有以前好
Dexter Kuo,1,家庭聚餐我們選擇帶爸媽到響食大直店，我們也提前訂位並告知有一位素食，當天晚上六點十分入座，一直到八點四十分素食套餐還沒上完，跟桌邊人員反應後告知師傅還要再把菜加熱，看我們能不能再等十分鐘，但我們因爲時間的關係沒辦法再等，離開前再跟櫃檯人員反應此事原本以為是素食太多忙不過來，但櫃檯人員確認後似乎當天晚餐只有我們一份素食，櫃檯人員也保證會跟主管匯報再讓我們知道後續處理方法，雖然櫃檯人員有送茶包賠罪但感覺還是很差；素食套餐一樣是一人要價998+10%的金額而且標榜吃到飽可以加點，沒 ⋯⋯更多家庭聚餐我們選擇帶爸媽到響食大直店，我們也提前訂位並告知有一位素食，當天晚上六點十分入座，一直到八點四十分素食套餐還沒上完，跟桌邊人員反應後告知師傅還要再把菜加熱，看我們能不能再等十分鐘，但我們因爲時間的關係沒辦法再等，離開前再跟櫃檯人員反應此事原本以為是素食太多忙不過來，但櫃檯人員確認後似乎當天晚餐只有我們一份素食，櫃檯人員也保證會跟主管匯報再讓我們知道後續處理方法，雖然櫃檯人員有送茶包賠罪但感覺還是很差；素食套餐一樣是一人要價998+10%的金額而且標榜吃到飽可以加點，沒想到連一份套餐都還沒出完更何況是加點的機會。
Jen-wen Yu,5,好吃沒雷
黃偉城,5,與家人朋友聚餐的好地方 食物種類多 生鮮食品也新鮮 環境也很優美
陳姿姿,4,"朝思暮想終於吃到好吃的酥皮濃湯啦😍多元化的饗宴美食！蠻推的╮(￣▽￣"""")╭"
ZABU Atriend,5,第一次到響食消費就在這間食物種類很豐富食材整體算不錯就這價位來看算是很值得了
鏡凌依,5,焦糖葡萄柚超讚其他食材也挺新鮮推土瓶蒸、現切豬肉
YenSu Ji,5,食材新鮮，好吃
YUKI HONG,4,家族團體聚餐慶生好地點
管理員,5,多樣化的食材及糕點
Evelyn Lin,5,一直都很愛饗食，CP值最高的吃到飽餐廳
哈比人,2,大直店應該是所有門市中補餐最慢、服務生最少、新鮮度最差的了。
張麗芬,5,價格實惠
林佳諠,4,多很多東西！食材不錯
蘇銘專,5,光聽店名就教人準備大快朵頤一番！從高鐵台中烏日搭乘10：00直達北車，再TAXI ⋯⋯更多光聽店名就教人準備大快朵頤一番！從高鐵台中烏日搭乘10：00直達北車，再TAXI 直奔大直饗食天堂。4樓下電梯，同學聚會時間已經正要開始，分秒不差準時到達。一樣是西式自助餐，然而這裡所提供的食材就是又多元，又新鮮。每一種餐點都不敢多拿，真怕還有更好吃的會錯過，或肚子已經撐不下去了。趕緊喝了兩杯熱美式咖啡，把胃部勉強再挪出來一些空間，絕對不會放過好吃的餐點。果然是名不虛傳，剛剛步出用餐區，外面已經一大堆人擠在門口等待下一個場次要大拼一下。回台中後可以直接進入大遠百，再次磨刀霍霍吧！
陳均育,1,吃東西請細嚼慢嚥，一不小心可能就吃下訂書針
pan boyen,5,一定要先訂位，現場排的話縱使平日也不好排
Lai Sam,5,食物很棒！推薦
Chang Yu Chen,1,N訪，此次用餐失望至極，一副就是怕客人吃， ⋯⋯更多N訪，此次用餐失望至極，一副就是怕客人吃，本期間主打的的鮭魚親子丼竟然只有入場的時候有看到，之後檯面上只剩牌子，也不補，上前去要才給，明明身後先就做了一堆，是怕客人吃嗎？而且事先做好的鮭魚親子丼的鮭魚卵居然不比手卷的新鮮，大概是做好很久了，都有點乾掉了，而且飯也都硬掉了現切肉的部分，只有一個人在服務，一邊要切肉一邊還要捲東西，時常要讓客人等，這可能也是故意讓客人少吃一點的招式吧，人手不足還可以省預算，棒棒的最後線上填完問券，立馬有人跑來關切，讓我感受十分不舒服，這種當場要客人說出哪裡需要改善，對我來說很可怕，你知道這會給客人壓力嗎稱讚一下鐵板區的小姊姊，就算有很多人再排隊態度還是很棒--玻璃杯呢？將近有半個小時不存在，及n位客人在詢問無論是中西式的鹹熟食都有一定的水準，補餐的速度相當快最棒的部分是用餐環境相當舒服，動線部分不會擁擠的也不會有過多的服務人員在場地上走動或一直隨機等待要收走你桌上的空餐盤比較可惜的是蛋糕的部分，海綿蛋糕的部分有點硬，算是比較可惜，但味道還算不錯
羅貓王,5,(由 Google 提供翻譯) 很舒服(原始評論)很舒服
黃小Q,4,普普通通吧，地下室有停車場很方便，假日人很多
Giant Su,4,食材新鮮、菜色豐富，但是價格偏高
鄭伯康,1,某組長態度不知在差幾點的，這種素質能當主管？ 教育訓練多注意吧！ㄧ家公司如果無法接受客戶意見，遇到問題只想洗客人臉，這種高高在上的態度，或許你們不差我們這幾個客人吧！只能說ㄧ顆老鼠屎壞了ㄧ鍋粥，以後絕對不會再光顧了！
Phil Chu,4,地方大， 食材種類選擇多
shuwei Yao,4,菜色多樣好吃
吳育陞,5,像是天堂的懸崖   好吃
吳萍,4,食物應有盡有 各個年齡層都合適
Kevin Chang,4,(由 Google 提供翻譯) 台北市所有餐廳的高消費(原始評論) …更多(由 Google 提供翻譯) 台北市所有餐廳的高消費(原始評論)high CP for all you can eat restaurant in Taipei
芋片洋,5,餐具衛生餐點美味
陳Hung,5,樓上緹力士服務親切
陳俊友,5,價格高一些，但是吃到飽，菜色也很好，認為值得
Andy 829456,5,餐點部分非常好吃，環境寬敞舒適，人不會太多炸蝦天婦羅、壽司、生魚片、土瓶蒸、烤鴨、烤羊排非常好吃烤干貝需要排隊，但是好吃又大顆 ⋯⋯更多餐點部分非常好吃，環境寬敞舒適，人不會太多炸蝦天婦羅、壽司、生魚片、土瓶蒸、烤鴨、烤羊排非常好吃烤干貝需要排隊，但是好吃又大顆網友說永遠拿不到的焗烤生蠔沒人要拿也沒有很好吃！焦糖葡萄柚很貼心的切好，非常推！
AYIN CHEN,4,還可以
Horng Merlin,3,實話  菜色變差了
辛哥,3,整體感覺還不錯  唯獨產品標示不夠清楚  一份是幾隻  又不能幫同伴拿  感覺非常差
吳志銘,5,好熱鬧˙啊！又遇到謝師宴，老師辛苦了
YUCHENG CHEN,4,菜色豐富，但漲價了
影耀影印有限公司,4,餐廳格局高挑寬敞無壓迫感，可以輕鬆吃飯。
_ Mochi,4,海鮮很多
陳孝悌,3,不錯吃，東西多新鮮
chihi yu,4,價格合理食物新鮮
蘇莞薰,4,選項多!!
生活影像日記Heman,4,素食可以有一張特別的菜單還不錯吃👍聚餐值得推薦
君陳,2,吃過京站的饗食天堂多次， 想說到大直旗艦店吃看看， 結果沒有預期中的好。 壽司區走了多次， 檯面上幾乎都是空的， 工作人員也並不忙， 但要跟她說她才會補， 沒說就放空 ，感覺真的很差， 怕人吃嗎？ 生魚片區的 ，雖然沒有補滿 但也盡量讓盤上有東西 ，不會放空。 女生廁所太少， 看一堆人都在排隊上廁所。 負責收碗盤的服務人員 非常親切 態度也很好。 結論不用吃旗艦店的， 京站的就不錯了！
Daydream白日夢,5,位子非常多很寬敞，不是大胃王，基本上有吃到的餐點都滿意，可以上網買餐卷吃下午茶比較划算，另外壽星的禮物是茶包，飲料區也有擺放的其中三種口味
Froggy我是青蛙仔,5,(由 Google 提供翻譯) 抵食(原始評論)抵食
Joanna Pan,3,有蟑螂從天花板掉下來，當下來不及跟店員反應。餐點還可以去。
mbeyOne Nove,1,扯爆了 5/19 中午在這用餐，捏壽司的人員看到壽司沒了還不補，站在那邊聊天，手邊一大盤包好的是捨不得給客人吃？？？反應說空了為何還不補，幾個工作人員還在私下交耳，要不要乾脆通通收起來不要讓客人吃了？是懶的放還是主管交代不要補？
龍凱莉,4,風景不錯
Stacy Chen,5,(由 Google 提供翻譯) 好吃(原始評論)好吃
呂學國,5,服務態度佳，出餐快
徐啟源,4,清潔，舒適
老虎王,5,東西很好吃，也有很多食物
吳俊逸,5,座位很多，食材選擇還蠻多樣的，推天使紅蝦
蔡承軒,3,門口小，用餐報到排隊很亂，但店內還蠻大的
Wink Josh,5,這家空間很大，用餐非常舒服
walack k,4,好吃！但是肚子不夠吃！價位越來越貴～
狩谷祐一,5,(由 Google 提供翻譯) 美味的自助餐，甚至日本料理(原始評論)日本人からしても美味しいブッフェ
陳鶴松,5,新增現煎干貝，天使蝦，羊排 物超所值
Ying Yi,4,干貝羊排蛤蜊湯都很不錯，位子安排在靠近取餐區佳，有次被安排在入口附近的兩人位置，感覺旁邊會有人可以坐在外面，吃飯吃的很尷尬！
陳俊豪,5,(由 Google 提供翻譯) 好吃美味(原始評論)好吃美味
JopheiY,4,種類多元，不推薦生鮮類，熟食還不錯~
邱宏博(小牙),4,1.食材品質還不錯，量也充足。2.服務人員態度也很不錯3.缺點是廁所數量稍嫌少了一點，女生廁所很多人在排隊。
駱均愷,1,要離開的時候電梯只開一台另外一台竟然要先拿來運垃圾沒有對外開放的樓梯 ⋯⋯更多要離開的時候電梯只開一台另外一台竟然要先拿來運垃圾沒有對外開放的樓梯只有狹小的逃生梯而且位置不明顯對於顧客的人生安全十分危險
Wenhui Ko,5,品質比京站佳
陳美月,5,用餐環境舒適
黃信嘉,5,東西多又好吃
Tsui Begonia,3,服務員對處理突發事件訓練不足，讓客戶留下不好印象。
先生陳,4,還可以
粉,5,相較於其他分店 這間菜色多樣且美味好吃
阙玲玲,5,(由 Google 提供翻譯) 好(原始評論)Ok
jackie lin,3,食材新鮮但是補菜速度趕不上消耗的速度
劉阿廷,5,每樣東西都好吃，裡面還有廁所很方便
Chen Terry,4,感覺比搬家前的內湖ibase店更方便，服務跟菜色甚至更好。
紅豆,5,種類很多樣
江凡凡,4,停車方便
陳敬文,5,東西多樣又好吃
Samuel Fu,4,(由 Google 提供翻譯) 地方大就舒服(原始評論)地方大就舒服
卡卡羅特,4,(由 Google 提供翻譯) 菜色很多(原始評論)菜色很多
Kathy Chen,5,以下為平日下午茶用餐評論和大飯店的菜色相比，有過之而無不及; 和大飯店的價格相比，算是較為經濟。
Judy Huang,5,如果是跟家人朋友吃到飽，第一首選地方會是這裡！
天雷弟,4,食材新鮮，口味很好
Fang Cheng,4,美食種類繁多，令人目不暇給，味道也都很好
林霜如,5,新的菜色鮭魚親子飯很好吃
陳玉倩,5,下午茶和很不錯有和牛壽司和鴨餅，珍奶雪花冰和芒果冰也很棒
林映如,3,菜台服務人員動作都很慢...
不凡,3,還可以，但新竹店更棒!
wu Chili,4,情人節的時候來吃的這裡提供的沙瓦蠻好喝生魚片的部分也不錯吃，尤其是鮭魚和生牛肉 ⋯⋯更多情人節的時候來吃的這裡提供的沙瓦蠻好喝生魚片的部分也不錯吃，尤其是鮭魚和生牛肉鮭魚補得很勤，但是之後一直吃不到生牛肉😟炸蝦是剛炸好的，不過感覺因為炸得不是很夠，可能因為很多人在排隊，所以品質沒有顧到我個人覺得烤鴨很難吃，第一次吃到吃不下去的牛排方面男友讚不絕口，只是來不及再吃一份披薩是好吃的，但是並不讓人驚艷還有雞肉超級好吃，回去還一直想到那個雞肉，下次一定要多吃一點😭另外甜點得部分，烤布蕾 奶酪 巧克力蛋糕都還不錯啦只是其他小小的那種蛋糕，我覺得味道很奇怪！！
Shawn Tung,5,很優質的餐飲集團，但我還是覺得新竹市大遠百的饗食是最好的。😉😉😉
楊紫蓉,2,位置很多，但餐食很快被取完，所以都要排隊排很久才取到餐
林貝兒,4,菜色豐富，飲料超多樣，有趣。但是，服務員都沒什麼精神。
陳國龍,5,價位有點高(價日晚餐)，但食材新鮮，美味可口，份量充足...
Albert Chen,4,之前要訂京站的，一直未成功，今天趁著大哥來台北改訂大直店，終於成行。就由照片說明吧！
王老大,3,(由 Google 提供翻譯) 食材平平(原始評論)食材平平
國熙巫,4,不錯吃
林育煒,2,環境很高檔，精緻優美，食物却很普通，味道不道地，不符合台北最高檔自助餐的身價，尤其現場熱食廚師語氣似乎不太客氣，不耐煩，要改進，生日蛋糕也縮水，沒誠意，實在不滿意。
愛秀一人團,4,菜色豐富，價格實惠!壽星用餐打95%，需前後3天才可，所以就送一份蛋糕，竟然小到笑出來！像在辦家家酒吧！
Mi Lin,5,雖然價格稍高，不過真的覺得算是大台北地區buffet類品質算非常高的了！料理都頗好吃、調酒不錯、氮氣飲料綿密、哈根達斯冰淇淋更都是很有誠意的口味（不會像有些buffet感覺是一些賣不出去的非主流😂）另外，有些平台賣的饗食餐券大約六、七百塊，就覺得完全值得，很可以～
bodyart貝比雅,4,(由 Google 提供翻譯) 食材多(原始評論)食材多
周明賢,3,還不錯
陳柚良,5,東西好吃不用說，用餐不用像京站排隊那麼誇張
王靜,5,(由 Google 提供翻譯) 料很豐富 食材多樣化，甜點調酒都有(原始評論)料很丰富 食材多样化，甜点调酒都有
kunyu wang,4,好多好多東西，吃太多了
Shang-Wei Kuo,5,平日下午餐價位698元加一成我是在網拍買餐券610元覺得很可以，完全對得起這價錢
邱振豪,4,大部分品項是美味的環境不錯
jacky lin,4,吃到飽，但單價可以降低就更好了
李華,2,這家沒有站前店菜色多，不推薦來這家
amy lin,5,餐廳服務人員態度佳，收拾餐具適時又親切。
judah lin,4,稍晚點來，什麼都不用等，服務態度好！生煎干貝、天使蝦好吃
王琳琳,3,服務態度有待改進
楊華,4,"甜點有星級水準，生食新鲜(除蟹煮過久甜味盡失,烤牛烤老了，停車方便。適合家人或不耐交際的聚餐。"
Amy,5,種類很多 而且都不錯吃（個人沒吃生食 不評論～）甜點好吃 ⋯⋯更多種類很多 而且都不錯吃（個人沒吃生食 不評論～）甜點好吃飲料也不錯 熟食也好吃冰淇淋8種口味
Jimmy Hsu,4,開車可停家樂福(自动車牌辦識)可抵停車費，而且用再過卡了！
PoChun LAI,5,烤蝦超好吃!!每次來必吃^^
C YL,5,料理都蠻美味的，服務態度也很好美食百匯價格合理
鄭文斐,5,感覺是菜色最好最豐富的分店！尤其是飲料類 也有提供簡單的酒類選擇提早到了 服務生也讓我們提早進去收空盤速度很快 服務好
linjurry1 linjurry1,5,超讚的
陳柔妙,5,東西總類多，新鮮好吃，全家聚餐好地方！
Booker投資知識,2,食物種類雖多，但吃起來很普通，不值這個價，不會再去第二次了
