評論者,評等,評語
Mirusa Chen,5,哇冰友王希銘啊 他非常愛來這吃享食 每個月總得吃到五千 他最愛小羊肋ㄌ 總會裝個百大盤來ㄘ 我就說啊 希銘 你吃那麼多不怕胖嗎？ 他說拎北不怕胖 反正我就這樣吃下去也沒人要ㄏ 他還真的放棄自我了........
修一,5,(由 Google 提供翻譯) 好吃(原始評論)好吃
Rita Young,4,食材新鮮 種類繁多
游益昌,5,很精緻的餐點，每樣口味都不錯，比起其他吃到飽的餐廳，個人蠻喜歡來這邊。
An Jo,4,桌椅位置不太舒適
wc li,4,甜點較弱
George Wu,5,用餐環境舒適，清理桌面服務快速
呂沛蓁,5,家庭聚會，親友歡聚的好地方，食材有更新，好吃
Shun Woody,4,老小都可吃到飽
Riky Okta10,5,(由 Google 提供翻譯) 很好(原始評論)Very good
Karen Wang,5,從高中吃到現在，食物越做越高檔，貴的很值得。牛排羊排肉質香嫩、豬排骨很好吃、生魚片新鮮美味、烤鴨捲餅棒、最喜歡炸蝦酥脆、各種氣泡飲料、甜點豐富、哈格達斯冰淇淋吃到非常滿足，有錢一定會常來。
許巧,4,自助式，不過等桌邊結帳有點久
方小賢,5,好豐富
Jo Ho,2,防疫配套不佳，光是入場就等了半小時
YoQing,4,氮氣咖啡和茶新鮮又好喝~~~
李家朋,4,想吃想喝的這裡通通都有
黃孝儒,3,還好
鍾延龍,5,菜色優+鮮(有現場料理)
湯梁順,3,乾淨方便
Happy Song,5,很大間，種類很多。常去。
JULLECA CANDILADA,5,"(由 Google 提供翻譯) 吃各種美食的好地方，每個人都必須在這裡嘗試，他們的食物是如此美味，您可以識別出它是由合格的廚師烹飪的！只是不是普通的餐廳。限時兩個小時。我們去了這個農曆新年2020 ..，而且每頭只加$ 200。 …更多(由 Google 提供翻譯) 吃各種美食的好地方，每個人都必須在這裡嘗試，他們的食物是如此美味，您可以識別出它是由合格的廚師烹飪的！只是不是普通的餐廳。限時兩個小時。我們去了這個農曆新年2020 ..，而且每頭只加$ 200。(原始評論)Good place to eat variety of cuisines, everyone must try here, their food are so tasty, you can recognize it's made with a certified chef!  Just not an ordinary restaurant. Limit for two hours only. We went this Chinese New year 2020..and it's only plus $200 each."
葉裕凱,5,菜色豐富，buffet首選
禮杰樊,4,特好吃 但位子很難定
Trent Tseng,5,場地寬敞，座位舒適，菜色多，有港式，西式，日式及中式料理，是宴客聚餐的好地點。
林聖輝勝輝,5,多樣選擇的海鮮餐廳
11:00 AM,3,覺得沒有很厲害的感覺，粗糙，CP質不高，以前比較好，都被其他的吧費比下去了
熊,5,不知道是不是因為過年菜色有升級，相較以往必吃的鮭魚卵手卷等菜色，這次更多出了烏魚子、干貝、天使紅蝦、炙燒葡萄柚、鮑魚粥等美食，飲料的表現也在水準之上。服務態度跟環境衛生更不用說了，還是一如既往的好。會回訪！！！
Jerry,5,空間大食物新鮮服務到位
照ㄟ,3,每年食物都一塵不變⋯⋯東西還縮水⋯建議更換一下菜色
桶子,4,選擇多 態度好
may may,5,(由 Google 提供翻譯) 酷狗(原始評論)Cood
Peace Chen,5,(由 Google 提供翻譯) ㄏ甲啦(原始評論)ㄏ甲啦
余小娃,5,高cp值，服務也好
張小芬,5,吃的好飽，加點龍蝦
Peitsang Hsu,5,食材新鮮 選擇多 環境很不錯 服務好 值得再訪！
何明炎,5,(由 Google 提供翻譯) 菜色非常多!(原始評論)菜色非常多!
Andrew Huang,4,(由 Google 提供翻譯) 好吃(原始評論)好吃
Enjoy,4,菜色豐富，但價錢稍高，樓下的一些區域，座位有些小，和鄰桌太近。整體是還不錯，比台茂的漢X好吃。
hsu ting Lo,5,一如往常 堅持做好東西
Dragon,4,今年過年菜色很不一樣，有松露料理.
min hsuan Chuang,4,今天家裡辦尾牙選擇來吃#饗食天堂這種自助百匯真的很適合聚餐或尾牙 ⋯⋯更多今天家裡辦尾牙選擇來吃#饗食天堂這種自助百匯真的很適合聚餐或尾牙不用煩惱要怎麼點餐想吃什麼自己裝所以當天用餐的人幾乎都是來辦尾牙的人潮比平常多一些～-今天去吃發現推出了一些牛肉和螃蟹的新菜色我吃饗會吃的就固定幾樣⭐️#鮮蛤蜊清湯新鮮的蛤蜊 現點現做搭配薑絲和蔥花 喝起來鮮味十足⭐️#櫻桃鴨捲餅一樣是現點現做薄薄的餅皮 抹上甜麵醬加上滿滿的小黃瓜和蔥花 最後在包進鴨肉片不知道哪裡特別 多覺得很好吃😀⭐️#拔絲地瓜外層的糖薄薄一層 外脆裡面的地瓜非常綿密⭐️#生巧克力 搭配 #哈根達斯一口生巧克力一口冰淇淋 是我最愛的吃法☺️⭐️#焦糖葡萄柚很喜歡吃葡萄柚怕酸的話就可以搭配上面的炙燒焦糖一起吃
吳鈞凱,3,還算可以啦，食材多樣任君挑選
Meng-ling Liao,5,中壢市吃到飽的第一名，美食值得價格。
BadTiger Frank,5,"和上次來吃的時候菜色不太一樣了不過還是好吃,喜歡的炒冰居然沒有了，可惜qwq"
鄧羽希,5,(由 Google 提供翻譯) 好吃！(原始評論)好吃！
YUN HOU SU,4,整體都不錯
Min-Chun Pan,1,服務人員不到位!餐飲收費高 和服務專業性不相稱。
xin,4,下午茶服務不錯，會一直清理桌面食物也很多樣
黃惠珍,5,(由 Google 提供翻譯) 太多好吃的美食了啦😋😋(原始評論)太多好吃的美食了啦😋😋
黃筱竺,5,(由 Google 提供翻譯) 好吃(原始評論)好吃
Steven Liu,3,還可以 菜餚豐富
FarFarAway BEN,5,菜色選擇多樣豐富，以這價位算是不錯的選擇
林宜文,5,東西好吃尤其是甜點蛋糕區多到吃不完
班乃迪克蛋,1,餐點不符合這個價位
爸Jenny,4,(由 Google 提供翻譯) 和海港城有的拼(原始評論)和海港城有的拼
蔣順文,5,用餐環境美好，食材新鮮美味是聚餐的好地方
HU小傑,2,餐盤沒洗乾淨，盤底中心都油油的，還有污漬，是怕客人都不會用手碰到盤底？還是不怕客人的手碰完盤底不會直接接觸餐點呢！
徐聖清,4,菜色都差不多，應該多變化菜色
陳翌嘉,5,這很鮮好喝
Y.M. C,5,菜色很豐富
Cheng Ping Hao,5,菜色很多 根本吃不完 價位高 座位多
廷蔚林,1,1月6日晚上用餐，魏姓組長服務態度很差，只是問了停車幣是不是可以折抵，臉臭的說沒有，還翻白眼，貴餐廳這員工教育，我大開眼界
Vicky Wu,4,物價跟品質水準一樣。海鮮有新鮮，可以再訪。比較偏日式跟台式。但披薩義大利麵也有喔，都有水準。
sing幸,3,久久吃一次覺得好像越來越沒什麼特色了～
Wallace Hsieh,4,東西都很不錯！
洪豐,5,(由 Google 提供翻譯) 好吃的自助吧(原始評論)好吃的自助吧
Kate Huang,5,(由 Google 提供翻譯) 公司聚餐(原始評論)公司聚餐
王振亞,4,食材高檔，cp值超高
小蒼,2,真心不覺得裡面的餐點值得你們的價錢
洪育成,2,菜單都沒有改變
李和靜,4,吃到飽的好地方
蔡炳炎,5,歡樂時光~好所在
Wanyu,5,生魚片、天使紅蝦好吃！！！！
貝安瑞,5,(由 Google 提供翻譯) 非常非常好Food paradise …更多(由 Google 提供翻譯) 非常非常好Food paradise(原始評論)非常非常好Food paradise
Bear Tady,4,價格比漢來貴(899加一成)，雖說都是以海鮮為主，但是我還是認為漢來比較好點，甜點樣式倒是比漢來多，冰淇淋兩家都是用哈根，這邊只有調酒，漢來有海尼根喝到飽，所以整體都是吃到飽，個人是認為漢來好一點，這邊因人而異，供大家參考。
魏聲瀧,5,食材蠻超質
wa lee,4,好多好吃的餐廳，每樣都想吃，最後還是只吃平常自己無法料理的，
莊焜煌,5,食物選擇性高、新鮮好吃。
嫻張,1,請問12/25海鮮焗烤披薩(肉)是豬肉還是牛肉？
鄧竹均,5,服務親切！
Tristan Mai,3,美味好吃 一樣的品牌 在不同地方也會讓人引象深刻
Flora Liu,5,晚間時間來的，營業時間到9：30，不限定用餐時間，心情上較悠然舒適，當然餐點十分豐富美味，尤其喜歡湯品。
黃冠博,5,服務不錯
謝大雄,4,吃到飽首選，價位可接受，食材種類多且處理的都不錯，甜點也不少，希望之後有機會可以增加馬卡龍這類品項，不然甜點都大同小異沒太大特色，用餐時間相當足夠，晚餐時段足足有4個小時，這點在吃到飽相當罕見，可以慢慢享用，完全沒壓力!
Wu Richard,4,選項極多，日式、中式、西式菜餚皆有，味道細緻，賣相亦佳，啤酒飲料內含(午餐)。。。佳。。
段玉方,4,環境衛生，菜色眾多，價錢公道
圈圈擦,5,餐點選擇多樣化，有多種飲料、甜點能吃
mm yan,5,用餐环境、菜色、及各种硬体设施尚稱水平以上，五星的评价給的是宇鳯、昱賢、宏明，親切熱忱的服務給予用餐最美的心情。
王心嫺,5,東西都好好吃 員工也都很專業    幸福です
ALEX SUNG,4,近年來CP值越來越差了
陳文玉,4,食材多樣可選，基本上肚子裝不了那麼多，聚餐的好場所
Charlis Chu,2,個人感覺 ~ 價位偏高，食材中等，CP值不優。比之前去的凱悅(君悅)等五星級飯店的歐式自助餐有些差距。就算有朋友招待，也會婉拒前往。
夜明珠,4,目前依然是吃到飽的龍頭無誤
簡子翔,4,環境明亮整齊乾淨，餐點好吃種類選擇多，唯獨價格方面調漲，這價位其實有其它吃到飽可以選，導致CP值不算高
何氣生銘,4,氣氛很好
翁凱洋,3,服務員的態度比前年去的時候好粉多!
陳聞達,4,好吃，種類眾多
李婉婷,5,海鮮都很新鮮
BH YAO,4,(由 Google 提供翻譯) 超好吃.....但不能常常吃（荷包阿）(原始評論)超好吃.....但不能常常吃（荷包阿）
張慶弘,4,少給一顆星是為了避免驕傲。
林士傑,5,滿分
Tshiong-Iû Kang,4,一改之前的印象，生魚片，炸物，熟食都滿符合它的價位，喜歡吃到飽不可錯過。
3 Ding,4,食材新鮮多樣性，料理美味
Weilin Sun,4,好吃，但平日比較有用餐品質，烤鴨可以再加強，螃蟹很好吃，生魚片很棒
沈勝嘉,5,食物種類多吃的非常飽
阿Joe,5,東西好吃又新鮮，吃下午茶也挺適合的哦
黃美綾,5,餐點好吃，服務人員親切
楊哈利,4,菜色豐富多元，口味中上。地點也很大，環境也不錯。不過吃太多次了較沒有新鮮感。價格還是一直漲價。記得上網買餐卷可以省一點喔。
C J,3,坐位安排、有待加強、尤其有老人家的位子別安排在太窄的空間出入。
陳慶文,4,偶而可來
Austin Lin,5,品質好 動線也滿順的
鐘國基,5,(由 Google 提供翻譯) 很好吃(原始評論)很好吃
R2 Heisenberg,4,螃蟹有點小隻原本預期這個價位區段可以吃到更好的品質但是平均來說的確滿好吃的 ⋯⋯更多螃蟹有點小隻原本預期這個價位區段可以吃到更好的品質但是平均來說的確滿好吃的不考慮CP值的話是個不錯的聚餐地點（好吃 吃完還能逛百貨公司）
Saney,5,好吃 菜色豐富
寶雲張,5,服務親切度比以前提升很多
郝乙樂,5,食材多樣豐富，招待客人方便！
李鈺新,4,下午茶菜色非常多，海鮮 生魚片 港式 炭烤 炸物都有，鹽烤蝦子超讚，西瓜汁好喝唯一美中不足是 生日當天的折扣不能當天用 要事先定
王瑋隄,4,天使紅蝦不優、牛肚也不好吃，其他都不錯，小朋友說：最好吃的是烤布蕾及烤蝦。
淑芬陳,5,菜色多樣魚肉新鮮服務親好吃的自助餐廳
Ginger Peng,5,每年紀念日都來慶祝，服務好，菜色豐富，很讚！
C F,3,還好，會有季節性的菜色
陳立宏,5,食材新鮮好吃
姜星羽,4,價位偏高，吃晚餐cp 值較高可以吃4小時小朋友的最愛
Akira Liu,5,豐富好吃新鮮，還有抽獎活動
霓霓黃,5,東西好吃，但有點貴。
Arthur Pan,5,樣式多，物超所值
李Leo,3,才過一小時食材幾乎空了也沒補感覺怕人吃
陳小美,4,地點很好，食物很美味，特別喜歡它們的烤羊排。
鄭宗雄,4,(由 Google 提供翻譯) 優貭(原始評論)优貭
wang justin,5,(由 Google 提供翻譯) 菜色多(原始評論)菜色多
許秋華,5,料理多，選擇多，冰淇淋好吃
鄭凡妮莎,5,(由 Google 提供翻譯) 最喜歡的商店(原始評論)愛店
John Wang,5,(由 Google 提供翻譯) 有哈根大使冰淇淋(原始評論)有哈根大使冰淇淋
鄭瑞珍,4,(由 Google 提供翻譯) 菜色多元(原始評論)菜色多元
陳振榮,4,感覺還不錯，食物新鮮，口味也不錯，取餐動線也很好。
古淑芳,3,"以吃到飽價位品質上可以有進步空間,甜點跟一般中價位一樣.應該要更好一點才能有驚豔到,唯一用餐還餐尚可."
3 Y,5,食材多樣美味可口
劉鎮緯,4,(由 Google 提供翻譯) 很好吃。(原始評論)很好吃。
潘羚方,4,菜色多樣
張吉強,4,(由 Google 提供翻譯) 一個字“ 優”(原始評論)一個字“ 優”
吳遼,5,各類料理應有盡有，新鮮度夠，飲品、甜點也有多項值得品嚐。
林正裕,4,(由 Google 提供翻譯) 很棒的地方菜色多..(原始評論)很棒的地方菜色多..
minsheng yuan,4,食物多樣 服務態度不錯
小叮噹,5,海鮮季的到來，讓食材更優秀
陳冠維,4,還行
黃秀霞,5,"用餐環境極佳如同他所供應的食材一樣棒，不管是天使紅蝦或大白蝦，新鮮味美， ⋯⋯更多用餐環境極佳如同他所供應的食材一樣棒，不管是天使紅蝦或大白蝦，新鮮味美， 各種海蟹都處理過，非常乾淨且貼心，讓所有的食客不用醜態百出使勁地剝咬蝦蟹，生魚片更是除了鮮還是鮮，所有的食材都值得了一吃，海鮮、豬、羊、牛、雞鴨、沙拉、甜點，冰品(哈根達斯，還有客製的雪花冰),特殊的飲品，走吃過無數的吃到飽，就屬饗食天堂讓我們最推，恨自己不是大胃王，雖然晚餐時間有4小時，東西太多太美味，但胃真的有限，喔！它的烤鴨跟德國豬腳旁的烤牛這兩道菜，真的有待改進，別浪費時間去排隊，惟二讓我們失望的餐點，因為烤鴨僅僅一片，薄小如香腸切片，包在特製的麵皮內，但蔥和小黃瓜絲完勝蓋過烤鴨美味，易客為主；而旁邊德國豬腳的烤牛也一樣有待商榷，給妳一片約5分熟的牛肉，卻奇難咬斷，遠不如熟食區的骰子牛肉，那真是個讚!但無論如何，總體上它值得一去"
陳念宗,4,座位雖然多，但太擠
方志桐,4,用餐環境舒適
Masao Ku,5,茶類的飲料口感不亮，果汁比較好喝，大致上的餐點都很棒
翁晨硯,5,(由 Google 提供翻譯) 美味(原始評論)美味
Nicky Huang,5,(由 Google 提供翻譯) 美味可口(原始評論)美味可口
吳裕為,4,喜歡這裡除了好吃外，最重要的是不用$，因為聚餐公司買單。
詹怡萱,5,種類多，食材吃起來都蠻新鮮的
Rosanna Lee,5,豐富的選擇，好吃的菜色
陳佳華,4,食材新鮮，服務人員親切
趙佩玲,4,食材新鮮，選擇性多
劉庭甄,5,東西好吃服務也好
小王,3,吃到飽餐廳
小偉吳,5,好吃，來吃麵包蟹
周真儀,5,(由 Google 提供翻譯) 很多好吃的(原始評論)很多好吃的
Conete Wei,1,出爾反爾 視商譽於無物的無良店家
高瑞妤,4,還不錯吃
陳Sara,4,食材新鮮，服務人員很親切。
李淑芳,4,不錯吃
簡惠津,5,羊肩排 天使紅蝦是隱藏料理要請大廚服務喔！每年大概會去2~3次，感覺又微調了菜單，尤其是甜點部分我最愛的70%巧克力蛋糕跟重乳酪蛋糕鮮奶酪都沒看到了耶，還好還有好吃的焦糖布蕾
林子傑,4,價位高檔，食材算不錯。以前有現煮的高檔蛤蜊湯，現在沒了
鄒貴臣,4,菜色豐富多樣化服務親切
黃墨墨,5,環境跟服務都算是上層，食物部份也很好吃，這次吃第二輪生魚片吃到鮭魚肚部位，超讚的！
黃琪媖,5,(由 Google 提供翻譯) 好(原始評論)good
鄭之喬,4,食材新鮮不錯吃
HSU CHENG WEI,4,整體品質還算不錯
胡毛毛,4,服務好，食材不錯，很豐富的種類，可以在新鮮點
Prince Gonzaga,5,"(由 Google 提供翻譯) 完美的地方，慶祝，閒逛和許多菜餚，即傳統的台灣食品和茶，日本，意大利，牛排，海鮮等等。盡你所能！(原始評論) …更多(由 Google 提供翻譯) 完美的地方，慶祝，閒逛和許多菜餚，即傳統的台灣食品和茶，日本，意大利，牛排，海鮮等等。盡你所能！(原始評論)Perfect place to celebrate, hang out and have fellowship with lots of dishes i.e. Traditional Taiwanese foods and tea, Japanese, Italian, Steaks, Seafoods and many more. Eat all you can!"
"一天做不到侵台,就TM自證廢物一天",4,標準以上的服務。標準及水準以上的食物。可惜飯麵敗筆。
元溥傅,5,價格偏高，菜色豐富多元化。
許維重,5,餐點精緻多樣，口味合乎多數人喜歡，服務親切盡心。
李純皓,5,雖然菜色都一成不變但還是很好吃
葉玲如,5,食材多樣式，服務很親切，貼心
林小喵,4,東西好吃但種類有點少
Huang BeeWay,4,牛肉和海鮮料理的很好吃！服務態度良好！
Jenn Wu Liou,4,用餐環境舒適多樣餐點自由拿，服務員態度親切
蘇筱婷,5,餐點好吃
駱正豪,4,用餐時間19：58進入2115離場平日單價不便宜988（含一成服務費）適合族群：愛喝酒的無限暢飲，果汁柳橙與西瓜推薦純的果汁 ⋯⋯更多用餐時間19：58進入2115離場平日單價不便宜988（含一成服務費）適合族群：愛喝酒的無限暢飲，果汁柳橙與西瓜推薦純的果汁咖啡豆機器研磨（多種選項很推）內容介紹：甜點小蛋糕還好牛排紅肉很讚吃了兩人份小份，草蝦維持充足新鮮，小烤鴨餅卷，知名品牌冰淇淋（哈根豆絲）四樣水果充足抹茶紅豆雪花冰（其他客人推未嘗試）商品：芒果雪花冰不推薦建議換掉此口味（小芒果片太酸）驚喜商品食物：烤生蠔很值得吃缺點與期望：魚下巴與生魚片（現場沒有哦沒看見）加分：櫃台與收桌，切牛排小姐很客氣禮貌
林彥彤,5,(由 Google 提供翻譯) 吃想要吃的(原始評論)吃想要吃的
ching yun tien,5,吃到飽自助式餐廳
yun yun,5,吃到飽自助式
廷宜林,5,還會再來的
SHUHUI SHIH,5,素食餐點很精緻
天知道,3,價格高 菜色普
Angel蚯蚓,5,東西超好吃的~~~
Richard Chen,5,餐飲品質好，美味，提供二度就業服務人員機會
吳勝品,4,東西多又新鮮
廖婕,5,讚超喜歡 尤其甜點類👍🏻
HF U,3,吃到飽
鄧榮坤,4,可以嚐嚐
love2769 love,5,說句實話~比寒舍艾美好吃多了~沒比較就不知道饗食有多優秀~一樣是下午茶的時間用餐，饗食提供的餐點比寒舍多太多了！光壽司種類就贏寒舍了~希望饗食可以維持下去，
淑哲徐,4,海鮮還算新鮮
黃波拉,4,吃超飽
程立偉,5,食材新鮮，選擇多元，空間寬敞，氣氛頗佳，服務人員態度親切，下次還要再去！
justin yeh,4,好吃，有點貴
俞善佑,3,很久沒來了，每人口味不同所以就不說評價，個人認為烤蝦的鮮度與熟度的掌握還不錯。
馬清霞,3,(由 Google 提供翻譯) 方便(原始評論)方便
XaioLi,4,料理還行、甜點好吃現在價錢比以前漲價很多
SewFen Chang,4,菜色很多，大部分都蠻好吃的，甜點很精緻。朋友家人聚餐，是很好的選擇。
atlantis goo,5,2樓空間感佳，料理品項定期更新，不限時間，吃飽坐満的好地方
沈沂潔,5,(由 Google 提供翻譯) 美食(原始評論)美食
drift hong,5,餐點精緻好吃，一定要先預約
熊安靜,1,沒火車站那時候好，東西少還賣稀飯，找個服務生都難找又貴。
吳進偉,4,中壢歐式自助餐只能選擇這裡、如果菜色一段時間常更換會更好
E li,5,有哈根達斯不錯
胡小歐,4,就有吃有喝有廁所
Ryan Jian,5,服務人員都很棒哦
白正賢,3,(由 Google 提供翻譯) 899或999元。它永遠不便宜。(原始評論) …更多(由 Google 提供翻譯) 899或999元。它永遠不便宜。(原始評論)899 or 999元 입니다. 결코 싸지 않네요.
Neil Chi,4,餐點多樣化，好吃又新鮮，價位合理！
忠威莊,5,食材新鮮
黃志描,3,上禮拜五颱風假，難得可以吃一下平常日的下午茶，但發現竟然沒有螃蟹，之前去吃假日的下午茶都有螃蟹可以吃，有點小失望～
Yen Ramy,4,環境乾淨，服務也很棒。扣一分原因為吵雜，走道偏狹隘會撞到 ⋯⋯更多環境乾淨，服務也很棒。扣一分原因為吵雜，走道偏狹隘會撞到食物見仁見智，今日唯一缺點是現切牛肉咬很久，口感不好。
Lee Mandy,4,現切肉品的現切牛排🥩可以選熟度，牛排軟嫩多汁，肉香十足現煎的天使紅蝦新鮮，法式羊肩排有點略老而且沒有薄荷醬有點可惜 ⋯⋯更多現切肉品的現切牛排🥩可以選熟度，牛排軟嫩多汁，肉香十足現煎的天使紅蝦新鮮，法式羊肩排有點略老而且沒有薄荷醬有點可惜現做料理：骰子牛、豆豉蒸魚片很推薦日式區：生魚片解凍完全，鮭魚油脂豐富，炙燒鮭魚跟生牛肉都很美味，很希望以後可以有純炙燒生魚片的選項飲料區：啤酒推saparo銀瓶，有氣泡水真的好貼心！無糖紅玉紅茶也好喝，可是氮氣冷萃咖啡好甜，現壓果汁也都有額外加糖冰品區：哈根達斯有八種，而且很好挖，很愛焦糖脆餅跟淇淋巧酥。冰品還有現做雪花冰甜點區：焦糖葡萄柚👍冰櫃甜點都很小巧剛好，但是沒有特別驚豔的品項，餅乾很不好吃整體而言用餐體驗很好😋 只是收盤應該可以更快速一點
Summer Tsai,4,食材選擇多，不錯吃
張智傑,4,食材多吃好飽水果飲料吃多少拿多少不讓費食材。
IV SK-,4,用餐的環境不錯，菜色也尚可，但是缺乏主打餐系，東西式餐點都有，沒有主特色主菜，可以再加強
賴佳兆,5,(由 Google 提供翻譯) 可以啦(原始評論)可以啦
一志周,5,(由 Google 提供翻譯) 好吃(原始評論)好吃
Lu ann,2,菜色普普，甜點多式但不精緻，吃生魚片，哈根達斯跟生菜沙拉
Eddie Lin,4,海鮮一般般，必吃羊肋排、豬肋排、德國豬腳、明太子花枝握壽司、烤蝦，另外甜點是最好吃的。
小P,2,(由 Google 提供翻譯) CP值下降了(原始評論)CP值下降了
跟著瑞奇一起玩核心,4,建議吃晚上的哦 吃飽飽不會趕出來 慢慢享受點心！！蘇福
王義証,5,真他媽好👌
Phil K,4,東西很多豐富
super帥,5,餐點豐富吃不完
書民,4,選擇豐富
Jerry Lin,4,菜色變化
楊爵嘉,4,調酒需要更有特色
黃朝榮,3,吃太飽……
胡魔羯,5,氣氛很好
鍾佳芸,5,"餐點好吃,服務不錯"
朱詩傑,4,食材新鮮多樣，用餐環境舒服，服務人員很親切
曹祐菘,4,價位變高，但東西也變比以前好吃
張正雄,5,第一次來這麼高級的地方用餐！空間寬敞燈光明亮，服務態度非常親切，給人一種禮遇舒服的環境用餐，食材新鮮有超過2百種以上的美食任君挑選！用餐時間足夠不會趕客人，印象良好還會再來光臨，值得推～
黃亮穎,4,好吃，舒適
林品陳,4,料理十分多樣但這價位能吃到更好的，推薦生牛肉和烤牛排。
彭恭賀新禧,4,精緻豐盛，服務周到，不是假日比較悠閒!!!值得一去的地方！
楊佩佩,5,美食一直都保持一定的水準👍不簡單😁
tsai tony,3,那麼多年過去了，品質依然不錯，但就是沒有變化和進步，差不多的菜色不會讓人驚艷，但價格cp值慢慢降低了
劉安可,4,過去自己來吃了幾次，公司聚餐也辦在這，座位擁擠，食材普，這價位有其他更好選擇。
黃惠鈞,4,食材還不錯！價格也是不便宜！
黃世月,4,公司聚餐很適合喔！
潔西卡,4,菜色多，服務好，吃得盡興.
Jamie Lai,4,食材不錯，新鮮好吃😋
Tiffany Hsien,4,很貴
謝孟樼,5,(由 Google 提供翻譯) 食物真的好吃！真的(原始評論)食物真的好吃！真的
盧盧盧,3,感覺CP值沒那麼好~
莊福龍,5,用餐環境佳食材超多選擇
董婷,5,覺得以前食材比較好~
史良程,4,東西多樣可以選擇，食材新鮮度尚可，整體氣氛還不錯
陳玉蓮,4,菜式繁多吃飽了
李峻彥,5,多元冷熱飲食挑選
王小碟,5,(由 Google 提供翻譯) 新增的烤肉系列好吃哦！一串串，一口一口。(原始評論)新增的烤肉系列好吃哦！一串串，一口一口。
俊雄張,4,好吃 氣氛佳
CC Sun,5,慶生的好去處，我覺得這餐廳有進步
廖國良,5,(由 Google 提供翻譯) 美味(原始評論)美味
小雨,5,服務很棒！食物精緻好吃！
Jefferson Lee,5,種類繁多，吃飯聚餐，家庭聚會的好選擇。
poly p,5,很好的服務和食材，空間也很好，只是停車還是要錢，美中不足。
Oldalian Aou,4,東西的種類很多，大多數也都不錯吃。
Yana Mito,5,吃了很多次，但從沒吃到任何踩雷料理，每次生日慶祝的慣例地點。唯一缺點是人很多，最好提早訂位。
Chien-Ming Chang,5,貴但是好吃!
吳成蔭,4,選擇種類很多，可以來小試一下
li maggie,5,來吃的頻率高會變得沒有期待
Yinghua Huang,5,東西好吃，品項齊全
俊逸黃,4,6月19日去吃午餐  11點半 剛入場 有裡面有點悶熱  應該冷氣沒提早開吧！
WinYao Sung,5,讚不絕口。
劉六,4,環境舒適餐點好吃但可惜漲價了
徐徐,3,還可以啦！部門聚餐還不錯，價格偏高
魏敬時,3,(由 Google 提供翻譯) 普通(原始評論)普通
翁維良,5,三五好友或家庭聚餐的好選擇，美食品項多，新鮮、衛生、美味。
楊曜嶺,3,當天去時食材沒很新鮮 感覺只是種類多樣而已 精緻度跟其他地區的享食還是有落差
yiling yang,4,依舊是用餐環境舒適，服務好，但菜色變化較少，久久用餐一次也是不賴
Pinkey Chen,1,五月份去一次，漲價後，菜色感覺不錯！但昨天再次造訪，感覺跟上次差很多，昨天的菜像是中午剩下的，菜色上也沒有變化，果汁說是現打的，但喝起來卻是酸掉！價格與菜色沒有相對的等值
劉淑珍,5,餐點多樣，好吃
Джин Чай,3,(由 Google 提供翻譯) 這是位於桃園市中區區崇光百貨的大型自助餐廳。食物不是那麼美味或多樣化。儘管如此，價格範圍還是很高的。(原始評論) …更多(由 Google 提供翻譯) 這是位於桃園市中區區崇光百貨的大型自助餐廳。食物不是那麼美味或多樣化。儘管如此，價格範圍還是很高的。(原始評論)도원시 중리구에 있는 소고 백화점 안에 있는 꽤 큰 부페식 레스토랑입니다. 그렇게 특별하게 음식들이 맛이 있지는 않고 다양하지도 않습니다. 그럼에도 가격대는 다소 높은 편입니다.
慧cherry,3,用餐環境不錯
Y Jerry,5,(由 Google 提供翻譯) 有很多料理，蛋糕也很好吃(原始評論)有很多料理，蛋糕也很好吃
朱柏宇,4,變貴了QAQ cp質沒以前高了
黃信諺,5,食材多樣化且精緻，每一樣都想吃，只可惜胃不夠大。吃到飽的高檔口袋名單。
鐵扇公主,4,為了炸蝦🍤和生魚片來的
曾瑞華,4,價格雖然又點高，可是食材都很新鮮
spike陳暉仁,5,超讚的啦
不專業小風,5,價格比較高，但是值得！！每道料理都很用心^^員工也很有善
Liu Gina,4,食材多樣空間寬敞，食物補充速度很快、服務人員收桌速度也快。用餐不限時間👍🏼👍🏼有些座位區在冷氣出風口下，吹久了頭很痛有點太冷。
黑澤栞,5,非常好吃，而且食物種類非常多元，絕對可以吃得很滿足。
Yorick,5,(由 Google 提供翻譯) 牛肉非常的美味(原始評論)牛肉非常的美味
林偉釧,4,超值•鮮
郭尚信,4,(由 Google 提供翻譯) 聚餐的好地方(原始評論)聚餐的好地方
Decides Mr.,4,排隊動線沒規劃，現場人員沒有幫忙管理，其他方面還OK。
Huang Fang,1,服務太爛，啃螃蟹啃到一半突然一隻手就伸過來把盤子收了，我看了他一眼才補一句我把盤子收了，就直接走掉了，我手上抓著啃到一半的蟹腳，盤子裡也還有沒吃的蟹腳，這樣是很難看出來我還沒吃完嗎？逼得我把殘骸丟桌上又不會幫我把殘骸收掉，服務真的垃圾
Chris,3,搞不清楚怎麼會那麼多人
李李松倫,4,吃到飽是很辛苦的一件事，
Bill Lai,4,非假日，不擁擠，好清鬆。
蔡珀,5,多樣選擇，口味佳
CYC Chen,4,用餐空間不錯。新產品氮氣飲料不錯。螃蟹品質比台茂海港好。
Ray Liu,4,新鮮，可口，動線一般般
巫怡寬,4,食物很新鮮！好吃。服務也很好！
