評論者,評等,評語
鄧勝元,4,有特別供應素食吃到飽歐式自助餐
king Tang,5,各式菜色豐富，海鮮都很鮮，服務員態度親切服務良好
홍이장군,5,(由 Google 提供翻譯) 食物種類很多，總體來說不錯韓國人通常會喜歡 …更多(由 Google 提供翻譯) 食物種類很多，總體來說不錯韓國人通常會喜歡(原始評論)음식 종류도 많고 대체적으로 맛있음한국사람은 대체적으로 좋아할것 같아요
戴士峰,4,菜色很多，服務很好。
陳鈺全,5,東西多要挑品質好的吃
Charlie Chang,5,除夕團圓夜吃到撐，走不動了。
Timothy Ting,1,(2020-01-24) 家裡就住附近，所以家庭聚會; ⋯⋯更多(2020-01-24) 家裡就住附近，所以家庭聚會; 招待朋友常會選擇這裡。以前我是給4顆星，是很好的評價，但今天我要改變評價，只給一顆星。就因為一時錯誤，選擇這裡當2020除夕的團圓餐地點。特殊節日收費高也就算了，但人也未免多得不像話，第一盤排隊排了快40分鐘才第一次坐下吃小半盤搶來的食物，熱門的菜色上菜慢，又沒有控管，所以完全沒機會拿到。一直到時間快到了，才看到想吃的食物可以拿，但也快飽了。餐廳想賺錢我能理解，但也不能誇張到這樣。去年的海X城就吃得很盡興。原因是人家還是有做人數控管。對這裡真是失望透頂。-----------------------------------(2017-09) 食品多樣新鮮。生日還能打9折。來過五次以上，菜色是有所更換，但，新鮮感卻沒有了，希望能有一些有主題的月份搭配同主題的餐點。
Ivy Sin,5,(由 Google 提供翻譯) 超正(原始評論)超正
Philip Han,4,吃到飽。晚餐可以坐很久。
簡秀鳳,5,(由 Google 提供翻譯) 美食(原始評論)美食
Paul Hou,5,(由 Google 提供翻譯) 一如既往的優質食品(原始評論) …更多(由 Google 提供翻譯) 一如既往的優質食品(原始評論)Good quality food as always
nly O,5,好吃但抹茶冰的女服務人員做事很隨便
Jerry Chou,4,"菜色有別於一般buffet, 別具新意"
Joe Weng,4,料理好吃，環境舒適
王敏華,3,較其它店寬敞，明亮。菜色不錯，服務人員不錯。會再去。
殘月,5,雖然很久，但非常的美味
陳威祥,5,食材不錯  服務好  每次去都好多人
marven lin,5,臨時想吃打電話訂，已客滿，詢問建議現場大約幾點到呢，服務人員回16:30，索性來挑戰現場候位，大約七點到，抽到17號，等到8點了還在4號，正準備離開電話就來了，真是好運呀！ ⋯⋯更多臨時想吃打電話訂，已客滿，詢問建議現場大約幾點到呢，服務人員回16:30，索性來挑戰現場候位，大約七點到，抽到17號，等到8點了還在4號，正準備離開電話就來了，真是好運呀！服務人員很有耐心，被問了好幾次還是笑容可掬，晚到餐點一樣好吃，有些東西還是蠻熱的，有位男士還送了好幾輪現作的餐點到桌上，並詢問有沒有甚麼想吃沒吃到的都可以說，他們真的很忙還可以提供這樣的服務深度真的很厲害。最好吃的就是甜點蛋糕了，隨便拿了十來個全都很好吃(也許有些人會覺得很甜)，愛吃甜食很推薦呢。謝謝饗食天堂辛苦的工作人員們，讓我得到一段滿意的晚餐時光。
吳郁璋,4,東西種類很多，可吃到飽，但價格有點高
Hengli Liao,5,食物種類多用餐時間也剛剛好！
Victor Lin,4,一直都覺得這家是吃到飽的基本款，該有的都有，CP值不錯，環境也好，熟食類的調味都滿合口味的
Bin Chou,2,多給一顆星是因為服務很不錯，菜色不多，價位不低，是生意太好了嗎？
Jerry Lee,4,好吃可惜好貴不能常來
魏凱勛,3,食物烹煮soso樣式不多
Liu Andy,5,吃到飽，乾淨明亮，菜色豐富，甜點和調酒也很棒
Ivor Sun,4,菜色種類還蠻多的
arc Lai,5,素食者可另點套餐，海鮮多
廖庭玉,5,食材新鮮，種類繁多。由其甜點種類多的讓人每個都想吃...但是吃不下了。因為太飽坐位食材動線規劃的很好。
bjcalkins,5,(由 Google 提供翻譯) 台灣最好的自助餐。(原始評論)Best buffet in Taiwan.
彭國綱,4,食材用料不馬虎！千元左右價位的好選擇
りき.弘幹,3,跟板橋店比較的話，個人比較喜歡板橋店的動線
Brian許,5,(由 Google 提供翻譯) 好吃😋(原始評論)好吃😋
swallow,5,環境寬敞，服務人員親切，東西不錯吃
shumin pan,4,餐點多很實吃
Ben Chen,4,彩色越來越少價錢越來越高…
熊許,3,響食天堂來了大概三次左右提供的菜色大同小異，服務的部分大多覺得滿意，只有在收餐盤的時候還沒吃完只是想拿個飲料回來居然被收走有點傻眼。
CHIH-YEH TU,4,供餐服務人員服務態度佳，主動詢問份量是否足夠。
蘇阿呆,1,"昨天晚上在那邊用餐,除了地點在信義區給一顆星以外,其餘真的是乏善可陳,東西種類少,單價高,服務態度差,剛坐下來吃東西就馬上過來收錢,要確認自己的帳單金額,來結帳的人自己不拿給我看就算了,我拿起來看,怎麼會知道下面有其他桌的帳單?就算有其他桌的帳單又如何?除非你賣給我們的單價比別的客人高,怕被我們看到,不然你是在心虛什麼?態度在爛幾點的?建議大家,同樣價位一定有更好的選擇.Run Away,If you can..."
Ruru Lin,1,這一顆星給的信義區的夜景，單價高，性價比低，服務態度差，如果錢太多的可以去體驗一下
有力,1,說實在的其實我不太能夠理解4.1星是怎麼來的，東西少單價也高，食物也沒有說好吃到能夠撐得起這個價格，服務態度也不是很好，實在是非常的不滿意。
張小P,1,Cp值低，態度差
린제,5,檯面上的的東西基本上沒有的話不用等太久 一直補貨 真的很有效率😂
Kelly Lee,4,價格偏高 但cp值不錯喔
紐約哥,4,食物味道都不錯
Wong Ron,3,"近千元的單價, 食物並沒有期待中的豐富精緻"
沈大為,4,(由 Google 提供翻譯) 一起聊天的好地方。(原始評論)一起聊天的好地方。
3 12,3,還可以
陳榮裕,5,很棒的用餐場地，燈光美，氣氛佳，美食多元，服務很親切👍
Cjohn Wen,5,食材多樣，品質良好
Perry Liu,5,CP值優
施威廷,5,饗食最好吃的一間
陳傑生,5,餐廳美食首推甜點，即便飽嚐美食後，你的第二個胃仍然可以笑納各式甜點
rebecca Wang,5,用餐舒服，選擇性多，調酒好喝
程彥涵,5,(由 Google 提供翻譯) 很好(原始評論)很好
Fred Lee,3,空間很小
JS 1TV,5,(由 Google 提供翻譯) 好食材種類繁多(原始評論)굿 재료싱싱 종류 많고
施伯勳,4,起司烤生蠔超正
Kelvin Tsui,4,裝修很漂亮，但食物與香港的 buffet相比 就顯得很平凡
林思妤,5,(由 Google 提供翻譯) 好吃 菜色多(原始評論)好吃 菜色多
陳小銘,4,各類食材新鮮，菜色多樣化，服務人員親切，座位整齊乾淨！
Fong Eva,4,(由 Google 提供翻譯) 忠平(原始評論)平靚正
生魚片葛葛,3,平日晚餐消費生魚片好吃 但握壽司飯太大偏黏 好像爭鮮的壽司好吃一點 ⋯⋯更多平日晚餐消費生魚片好吃 但握壽司飯太大偏黏 好像爭鮮的壽司好吃一點蛤蜊湯滿分 簡單清爽夠鮮甜點區烤布蕾小姐臉稍微臭調酒小姐沒表情聲音平平的甜點蛋糕區的小姐服務比較好面帶微笑 還會推薦蛋糕生食區蝦子 淡菜區的男服務生都蠻親切的買單的服務生也很親切整體就是被女服務員拉低分數 不然起碼我給四顆星  壽司若在改進我就給五顆了
L R,5,(由 Google 提供翻譯) 一個好地方(原始評論)좋은 곳
Panda Yang,3,"今年已經去了四次，前三次都是平日中午用餐，真的非常滿意,不管是服務或菜色。 ⋯⋯更多今年已經去了四次，前三次都是平日中午用餐，真的非常滿意,不管是服務或菜色。為何給3顆星😡，第四次就是尾牙舉辦在那，星期六的晚餐，只能說糟透的服務，訂位19人，到現場17位，既然只打算安排16個位置，1個要另幫我們加椅子，請問⋯⋯桌子很大嗎？我們少了人數很抱歉！但是一開始我是訂19位，也不致於不致於沒多得空位吧！不是早該預留的嗎？最後帶位人請主管來，位置才安排完善，感謝！菜色一樣滿意，但是但是但是⋯⋯⋯現煎區那塊，完全就是糟透糟透糟透糟透了，是人手不足？不足？不足？還是煎盤是多小？多小？多小？堅持一次只能煎14個，排隊最長就是干貝、羊排區，一人拿2個干貝，7個人就沒了，一直排一直等，就站在那等了3輪、3輪、3輪⋯⋯沒錯！就是等了3輪才拿到干貝，羊排約等2輪。第一次吃飯覺得，站的時間比我坐的時間多。囧絕對不會再選假日用餐了，除非你是愛排隊等待的人（傻眼）"
邱某人,5,餐點優，服務品質佳
國展黃,4,4個人尾牙
星星,5,我要讚許信義店的服務。 ⋯⋯更多我要讚許信義店的服務。12/12晚間我們一家來為母親慶生，生日蛋糕是子女親手製作，在用餐畢請店員幫忙送上蛋糕時，組長很親切詢問希望如何端上來，而後拆封時發現蛋糕已撞損，來了位主管請我們去看損壞情形、協助討論處理，甜點區兩位吧檯人員很用心幫助我們復原拯救蛋糕，使我們能順利端上桌完成慶祝、一家人擁有美好的回憶：）這一小段插曲特別感謝這四位人員的服務，儘管這不是你們的餐點產品，也盡力服務客人，令人暖心，用餐過程愉快。
林子庭,3,跟大直att食材一樣，但價格比較貴～
Frost Lai,4,食物種類豐富，份量也很充足，小推哦～
fang liao,4,餐廳位於ATT樓上，窗外可看見101，食物新鮮甜點也還不錯，用餐最好先訂位。
研推中心李美萱,3,下午茶樣式略少
H R,4,雖然變貴了，但是東西有精緻化
賴彼得,5,新竹店略勝一咪咪😁
헌재오,5,(由 Google 提供翻譯) 味道不錯(原始評論)맛이좋네
simon23581,5,(由 Google 提供翻譯) 超好ㄘ(原始評論)超好ㄘ
김대현,3,(由 Google 提供翻譯) 甜點好吃(原始評論)후식은 맛있음
sh liang,4,服務人員都非常好，非常良善，值得加薪。
紀志勝,4,食材新鮮，美味可口
cindy lin,4,(由 Google 提供翻譯) 好吃(原始評論)好吃
克隆馬克,4,環境乾淨 服務不錯 但吃得就普通 小時候吃到現在東西都差不多
Benjamin Wang,4,平常日也客滿的吃到飽餐廳
chern ch,4,餐點新鮮、好吃，種類沒有五花八門，但是足夠選擇，用餐的好地方。
黃惠珠,5,饗食天堂台北信義店的食材料理豐富多元且海鮮食材都很新鮮且多樣，很可口好吃，我吃過的餐廳Buffet方式，大概它提供的餐點是最符合食客的需要且新鮮，食材方面肯用高檔貨，且用餐環境寬敞舒適，動線順暢，是一個舒服的用餐地點，請客，自食均適宜
李鍾成,4,選擇ATT的分店因為用餐環境裝潢佳，交通方便，吃完還可順便逛信義區。當然食物美味，服務用心是最主要的原因!
徐肯尼,5,生魚片十分新鮮！真的超級好吃的
Jack Hsu,5,目前覺得CP最高的一家buffet，種類多，品質也不錯，只有壽司沒那麼好
陳虹璇,5,種類多
Wei,5,(由 Google 提供翻譯) 大(原始評論)Great
方威,4,正常水準
Shawn Wu,4,選擇不多 平平
阿鈞,4,餐點多樣精緻，好吃。環境優
Janet,5,美食當前，每次都吃到肚子超級撐才肯罷休，實在是太累了😂😂😂
초코에몽조아,4,(由 Google 提供翻譯) 我下午去了。兒童價格可在生日六年級之前使用。食物種類繁多，質量上乘，味道鮮美。生啤酒也可用。 Hagendaz冰淇淋也可提供。飲料比碳酸飲料更多檸檬茶。不幸的是，工作人員缺乏英語，食物很快就會感到疲倦。 …更多(由 Google 提供翻譯) 我下午去了。兒童價格可在生日六年級之前使用。食物種類繁多，質量上乘，味道鮮美。生啤酒也可用。 Hagendaz冰淇淋也可提供。飲料比碳酸飲料更多檸檬茶。不幸的是，工作人員缺乏英語，食物很快就會感到疲倦。(原始評論)에프터눈 시간때 갔습니다.아동요금은 생일 안 지난 6학년까지 가능합니다.여러종류의 음식들이 있으며 충분히 질 좋고 맛있습니다. 생맥주도 있습니다. 하겐다즈 아이스크림도 있습니다. 음료수는 탄산보다는 레몬 홍차가 더 먹을만합니다. 아쉬운 점은 직원이 영어가 부족하며 음식이 느끼하고 금방 질립니다.
王美玲,4,位處市府週邊，交通便利，屬於自助式吃到飽餐廳。店內餐點種類豐富，味道不錯，以臺北市同類型餐廳的消費情況來看，價位和食物品質算是有達到相對應的水準。惟，桌位空間擁擠些，對於需要一直移動取食的用餐方式稍嫌不太理想。
muki muki,4,好吃但比起同價位的吃到飽餐廳稍微遜色一些
Chen Lydiya,5,握壽司好好吃
Hsin Chieh Tsai,5,食材新鮮，菜色多樣，用餐環境舒適，服務人員親切
Mabel Y,5,(由 Google 提供翻譯) 喜歡這個自助餐(原始評論)Love this buffet
Chih-kai Peng,5,一陣子沒來感覺差不多，補菜速度比起之前小巨蛋旁邊那家算快的
W.K. Lin,5,服務好，餐點ok
吳罔卻,4,在這吃飯其實很享受美食，也能悠悠栽栽的進食，唯一可惜的是，每次只要有螃蟹，卻有一道是冰食，對於腸胃不好的人真是一大酷刑，難道不能現場清蒸。
LION LU,5,好吃，氣氛佳，服務好
Dennis Feng,4,價格調整後，覺得不值得了！產品的精緻度有限，人潮多的時候，各方面就變差了！
陳卉蓁,4,裝潢很氣派，食物也不錯，服務也不錯！（但吃完回家發現口很渴，不知道是不是調味稍重）
wendy,5,好吃，食物種類多，螃蟹蝦子甜點是我最喜歡的部分。冰淇淋是Hagen Dax 的
小巴,4,覺得不是很豐富。親友聚餐
Alan Liu,5,食材不錯，空間好，收錢快，不過，小姐把客人的信用卡收走很久才拿回來，不知道過程中要幹什麼，令人很疑惑又不安心。
eden lin,4,(由 Google 提供翻譯) 真好！(原始評論)Nice!
tiffany,5,好吃，選擇多，價錢合理，服務好，收餐很勤，會補紙巾
carolyn chen,3,2019/11月，又來吃，覺得變不好吃承，且服務也變差了！跟以下之前的感受差多了！---吃到飽最佳選擇！菜色很多樣化，從生魚片，炸物，烤肉，牛排，當然還有蛋糕水果。
杜蘊明,5,優質好店
劉芮廷,5,雖然明明人不多卻被安排在很遠的地方，但食物品質跟飲料甜點都很不錯！
賴家齊,4,餐點不錯除了孔雀蛤有點鹹，剩下都不錯晚餐可吃到打烊
Mark Yen,5,人很多 記得早點來 要先去櫃檯報預約號碼報到 不然排隊會白排
YanHua Lin,4,食物選擇種類多，服務熱心，CP值尚可
Tobey Lee,1,超級差 跟以前比簡直差勁透了 沒什麼東西吃 沒有生蠔 沒有干貝 螃蟹小得可憐 還敢收這種價錢簡直坑人 難怪沒有人 喔對了 連梅子粉都不提供
김인환,4,(由 Google 提供翻譯) 這很好吃(原始評論)맛있어요
Vivian Chen,5,菜色多樣、美味，飲料變化多，服務親切
Kimberly Chen,4,東西還算不錯，服務也很親切熱心，但那個握壽司的米飯簡直是失敗中的失敗。
Raja Paranthaman,5,(由 Google 提供翻譯) 服務很好，食物也很好吃。(原始評論) …更多(由 Google 提供翻譯) 服務很好，食物也很好吃。(原始評論)Service is good and also the food tastes good.
Wilson Chang,5,美食種類豐富
張昊天,5,家庭聚會好地方
Chang-Bae Kim,4,(由 Google 提供翻譯) 食物很好，工作人員很友好。(原始評論)음식 좋고 직원들이 친절합니다.
京樂春水,2,這裡對於份數的單位讓人感覺無厘頭豬腳跟烤牛肉都是現場片肉給客人享用 ⋯⋯更多這裡對於份數的單位讓人感覺無厘頭豬腳跟烤牛肉都是現場片肉給客人享用一份兩片，多要一點一樣是兩片所以如果真的很喜歡吃就得一直走去拿光這樣的體驗就讓人忘記其他的菜色好不好吃了
紅豆,5,食材多樣，調酒很值得喝
茂造82歳,5,(由 Google 提供翻譯) 美味到足以讓人驚喜(原始評論)ビックリするくらいおいしい
周世恩,5,起手式就是生魚片優先
PHAKKHANANN N.,5,(由 Google 提供翻譯) 很好的食物，5星級，價格不是很貴，但是需要預訂。有鮑魚，但是很小。價錢還可以他們有很多台灣生啤酒和小吃雞尾酒。 …更多(由 Google 提供翻譯) 很好的食物，5星級，價格不是很貴，但是需要預訂。有鮑魚，但是很小。價錢還可以他們有很多台灣生啤酒和小吃雞尾酒。食物種類繁多，冰上的海鮮有點咸但這通常是非常好的鮑魚，有一盞燈，蟹湯。老虎蝦是新鮮製作和預製的，新鮮的鮭魚，漂亮的肉，只吃螃蟹，鮑魚蝦，這是值得的。有各種各樣的水可供選擇，價格是800-900，有兒童折扣，4瓶100瓶，價格非常好，食物比泰國一家酒店的自助餐要好很好的價值(原始評論)อาหารดีมาก 5ดาว ราคาไม่แรง แต่ต้องจองมีหอยเป๋าฮื้อแต่เป็นตัวเล็ก ก็โอเคสำหรับราคานี้มีเบียร์สดของ taiwan และ คอกเทล ขนมเยอะมากอาหารหลากหลาย seafood on ice ค่อนข้างเค็มหน่อย แต่ก็เป็นปกติ abalone ดีมาก มีlamp ซุปปูกุ้งลายเสือทำสด กับทำมาแล้ว แซลมอลสด เนื้อสวยงาม กินแค่ปู กุ้ง เป๋าฮื้อก็คุ้มแล้ว มีน้ำให้เลือกหลากหลาย ราคา800-900 กว่า มีส่วนลดให้ด้วย เด็ก4ขวด 100 เอง ราคาดีเว่อร์ อาหารดีกว่าบุฟเฟต์ในโรงแรมของเมืองไทยซะอีกคุ้มมากกกก
zaken000,3,墨魚小菜有股臭味三杯鴨肉只剩骨頭還不補充牛排有時肉質也太堅韌還沒油水
張志偉,4,人太多反而造成用餐體驗變差，整體還不錯但扣一星
justin wu,5,裝潢超讚， 用餐空間適中
Color man,4,場地很大，服務生很客氣有耐心，廚師的笑容很甜
蔡明芳,5,在響食用餐也好幾年，從板橋吃到京站到信義，目前信義是我最喜歡的分店
Oracle Pup,5,"(由 Google 提供翻譯) 比板橋分店菜單較少，但其還是不錯的(原始評論) …更多(由 Google 提供翻譯) 比板橋分店菜單較少，但其還是不錯的(原始評論)Lesser menu than the 板橋 branch, but its still good"
Sam Ng,3,價錢合理，食物豐富，可是沒有特色，可能是我期望過高
Daniel Su,5,菜色豐富
Jeff Daniel,5,服務品質顧客至上還會主動詢問顧客的感受值得再去
龍凱莉,5,服務最好的一家
Perfect_0210,4,沒毛病！夥計們@0@/
Nick Lee,3,星期五晚上用餐，一人要付將近1000但是餐點只值600-650左右，CP值低。
Kh Chao,3,中規中矩
陳瑩芳,5,海鮮好吃，甜點也不錯
魏淑貞,2,聽女兒說甜點很棒，我沒嚐試，現切牛肉片，烤蝦，干貝鐵板蝦，現煮蛤蜊湯，蝦仁炒飯，冰淇淋，芒果雪花冰，都還不錯!獨獨螃蟹，清蒸，涼拌的都不夠新鮮，肉質鬆軟，1千多元吃這樣的品質，令人失望!
感謝主,5,接待細心，經理體貼，食材新鮮現作，口味鮮美~感謝感謝
A LEE,5,(由 Google 提供翻譯) 好吃😋(原始評論)好吃😋
妖兽公爵,1,(由 Google 提供翻譯) 沒有座位(原始評論)자리 없음
Oliver Cheng,4,餐點種類多
黃品全,4,菜色多樣 享受佳餚的好餐廳
Hank Hsieh,5,牛排鮮嫩，烤鴨皮尚可，骰子牛火侯不錯，水果太少，手捲的海苔不夠酥脆，建議先烤一下
古孟修,5,應有盡有，但是偏貴。
王潤善,5,種類多，服務人員親切
Yu Rou Ji,3,各式美食都有生牛肉壽司必吃！
盤柏辰,5,真的很好吃 只不過要跑很遠很遠才可以品嘗到
Lu Li,5,"(由 Google 提供翻譯) 101交易中心交通便利。和良好的服務，味道也特別好。服務員和女服務員正在全職服務。我想建議這個饗食天堂信義店餐廳。 😘😘😘 …更多(由 Google 提供翻譯) 101交易中心交通便利。和良好的服務，味道也特別好。服務員和女服務員正在全職服務。我想建議這個饗食天堂信義店餐廳。 😘😘😘(原始評論)Good transportation at101 Trade Center. And good services,taste also  special good.Waiter and Waitress are serving full time.I want to suggest this  饗食天堂信義店 restaurant. 😘😘😘"
Jeff YU,4,還不錯，適合交誼聚餐
Gary CHAN,4,自助餐熱點
LL leon,1,變化越來越少了，人不如以往，東西就老套
QB,2,空有哈根達斯冰淇淋擺著，卻硬得挖不出... 沒誠意！
노형준,4,(由 Google 提供翻譯) 羊排味道不錯，但價格也不錯(原始評論)양갈비가 맛나요 가격은  쎄지만 값어치는 함
周明徹,3,服務不錯
喵喵,4,美中不足的是廁所要走出去，用餐空間狹小，進出困難，食物品質很不錯，海鮮新鮮，甜點也在中上水準
Brandon Eum,5,(由 Google 提供翻譯) Woowap！它在這裡很優雅，但它並不昂貴而且味道鮮美。(原始評論) …更多(由 Google 提供翻譯) Woowap！它在這裡很優雅，但它並不昂貴而且味道鮮美。(原始評論)우왑! 여기 고급진데 많이 비싸지않구 맛있어요.
錢怡君,1,預約9/26下午茶時段裝潢很美氣氛很好，餐點味道也極度好吃，可是就在已經離場的5分鐘，看到信義店未接來電然後又回去信義店，問說我本人有沒有遺失東西、我說沒有，然後也沒有問說不是我朋友遺失東西、然後就一直用‘’逼問‘’的方式有沒有遺失東西、因為根本印象有弄丟東西，直到那個服務員問說是哪家發卡銀行，然後夾鏈袋裡面有什麼才把夾鏈袋還給我朋友，不知道不見東西很謝謝你們願意打電話給我、可是可不可以不要用這種懷疑的態度懟人、會把吃完飯的好心情都搞差了！綁馬尾、看起來劃眼線很重的穿黑色西裝 ⋯⋯更多預約9/26下午茶時段裝潢很美氣氛很好，餐點味道也極度好吃，可是就在已經離場的5分鐘，看到信義店未接來電然後又回去信義店，問說我本人有沒有遺失東西、我說沒有，然後也沒有問說不是我朋友遺失東西、然後就一直用‘’逼問‘’的方式有沒有遺失東西、因為根本印象有弄丟東西，直到那個服務員問說是哪家發卡銀行，然後夾鏈袋裡面有什麼才把夾鏈袋還給我朋友，不知道不見東西很謝謝你們願意打電話給我、可是可不可以不要用這種懷疑的態度懟人、會把吃完飯的好心情都搞差了！綁馬尾、看起來劃眼線很重的穿黑色西裝外套的幹練小姐。
FATE,5,熟食方面比京站的好，個人偏愛熟食品質，服務應該平日人少品質不錯。
Nicole Lai,3,以前吃過別家響食天堂覺得難吃這家還行
kate liu,4,(由 Google 提供翻譯) 物有所值。(原始評論)가성비 굿 직원들도 친절함!
徐逸驊,5,很舒服的用餐體驗
Esther Yang,3,東西比站前店少，蝦不新鮮!
Harbans J Singh,5,(由 Google 提供翻譯) 精選，價格合理。強烈推薦。(原始評論) …更多(由 Google 提供翻譯) 精選，價格合理。強烈推薦。(原始評論)Great selection at a reasonable price. Highly recommended.
吳卉晴,2,食材沒有很多樣化味道普通CP值不高
江太太,5,覺得東西還滿好吃ㄉ
LIN黑炭,5,菜色多樣精緻
XiaoHu小狐,4,每道料理都很特別，除了幾個鮮食有些怪味，希望改進。
Jonathan Huang,5,用餐的氛圍很好，有計劃的吃序可先規劃安排，經典食材區等候時間不長，建議每樣東西皆可少量品嚐風味，才可吃出多元化的產品特色，如此那怕最後的甜點亦可逐排依序的品味，值得推薦您與親朋好友的聚餐之地。
Liang-Feng Ko,4,食物多樣性
朱碧霞,4,菜色多，多種選擇
YH Chu,5,服務非常好。指定座位時一點都不嫌麻煩。紙巾不夠去跟櫃檯拿紙巾回位置後，服務員又親自送來了更多紙巾。非常貼心。座位很大很舒適。
廖振呈,5,氣氛、環境佳，服務、場巡好，餐點、菜色豐富。
Panbosin,5,一生一定要來吃過一次
David Wang,4,在信義計畫區，單價不算高
goddess kiwi,4,下午茶cp值高 適合聚餐
劉賢揚,5,服務超親切，東西很多種，可以吃的飽飽飽
Breanni Chen,4,吃很多次了菜色都有在更新 算是有創意拿餐的動線也還可以 不會卡但是現切牛排口感很差
許進陽,5,寬敞，食材新鮮，多樣美食，服務品質好
真的,5,美味 種類多
江嘉琪,5,很喜歡這裡的用餐空間，偌大又舒適，每道餐點都很不錯，cp值很高，服務生都很有禮貌，是個適合和家人朋友用餐的好地方
taishon lin,5,餐點超值，廚師都很親切
鄧正平,4,贊~
Elly Ma,3,服務很好～但餐點普通（湯品偏鹹、牛肉難咬、茶碗蒸味道偏淡…），不過蛋糕還不錯，餐點還有進步的空間😊
林偉平,4,去吃下午茶時段，菜色數量略少，但品質還不錯，也有現切牛肉，總體來說還是很推薦(周末下午茶時段人沒滿)。
芸朵醬,5,(由 Google 提供翻譯) 味道好款式多(原始評論)味道好款式多
汪沛駿,5,(由 Google 提供翻譯) 很好(原始評論)很好
湘陵的日常,4,取餐區不大，但餐點優，口味也不錯!海鮮夠新鮮，現煮蛤蜊湯很好喝，可惜很少有促銷優惠活動，也沒有配合信用卡優惠!
Huijun Lim,5,選擇多樣！生魚片非常新鮮～一吃再吃！熟食也非常到位，烤食也很好吃，德國豬腳不輸專賣店，甜點多樣也非常到位！總之就是值得的buffet！😋😋😋🙄
陳祥,4,不錯的聚餐地點
茹茹兒,5,人員服務都很貼心 用餐愉快
Daydream白日夢,5,我覺得大直店比較好的感覺不過畢竟是饗食，東西還是有一定的水準，如果你不能吃很多，其實都夠吃啦~肉的部分沒有特別驚艷的，但還是不錯吃，炒干貝炒蛤蜊淡菜我吃很多，還有點清湯來喝，這裡有奶油螃蟹可以點~然後果汁也喝很多，西瓜檸檬柳橙我都喜歡
王宜屏,5,東西好吃，服務人員很親切
James Sh,4,(由 Google 提供翻譯) 美味的自助餐(原始評論)Delicious buffet
林修峰,1,所有車子必須跟著發票同時走 服務生 話還沒講完就掉頭走 態度極差
JKWANG168,4,不會驚豔，就是那個價位該有的水準，一般來說，自助餐要做到很好本就不容易，例如，不可能用這種價錢吃 “一片“ $150 的生魚片，講究溫度與時間，就是切好擺在那讓大家拿，溫度與時間都無法掌握，就只能提供一般般的生魚片了
호크Hawk TV - 즐거운요리 cooking,5,(由 Google 提供翻譯) 這是建議的提前預訂。等30分鐘才能提前入住。沒有時間限制和無限量的飲料。晚上來享受吧。 …更多(由 Google 提供翻譯) 這是建議的提前預訂。等30分鐘才能提前入住。沒有時間限制和無限量的飲料。晚上來享受吧。(原始評論)여기는 미리예약 추천 저녁에 창가자리로 예약 추천30분전 대기해서 들어가야 일찍들어갈수 있다.시간제한 없고 술 무한리필이라 꼭 저녁에 와서 마음껏 즐겨라
mike peebles,5,(由 Google 提供翻譯) 自助式和許多不同的菜餚(原始評論) …更多(由 Google 提供翻譯) 自助式和許多不同的菜餚(原始評論)Buffet style and many different dishes
Dongjun Kwon,4,"(由 Google 提供翻譯) 味道是索索，價格令人滿意(原始評論)맛은  Soso, 가격비는  만족"
Wong,5,服務不錯 希望日後的菜色選擇可以多一些
thomas,3,(由 Google 提供翻譯) 方便(原始評論)方便
뿌딩뿌딩,5,"(由 Google 提供翻譯) 哇......真的......真的......最棒的。我想再次來台灣吃這個價格。我太飽了，我只吃了兩次。 …更多(由 Google 提供翻譯) 哇......真的......真的......最棒的。我想再次來台灣吃這個價格。我太飽了，我只吃了兩次。食物質量很高，工作人員很友好一定是有點貴的錢，請務必來!!!!!!新鮮而且棒極了！ㅠㅠㅠㅠㅠㅠㅠㅠ比首爾著名的海鮮自助餐更好❤️(原始評論)와..진짜 ...진짜... 최고입니다.이가격에 이 퀄이면 이거먹으러 또 대만오고싶어요.배가너무불러서 두번밖에 못먹은게 한이되고,음식도 퀄리티 높고 직원들 친절하고좀 비싼돈이더라도 꼭오세요!!!!!!신선하고 대박 맛있음 ㅠㅠㅠㅠㅠㅠㅠㅠ서울의 유명한 해산물뷔페보다 훨씬 괜찮아요❤️"
郭惠瑜,4,餐飲多樣，口味也都不錯，補餐速度也算快
汪樹博,5,菜色很豐富
sharon,3,人手嚴重不足，連奶茶都要等五分鐘，誇張。上菜很慢，走一回一半的菜都是空盤，很多菜都要等浪費很多時間！菜色普通，沒特別好吃，牛肉偏鹹又乾。生魚片也普通 ⋯⋯更多人手嚴重不足，連奶茶都要等五分鐘，誇張。上菜很慢，走一回一半的菜都是空盤，很多菜都要等浪費很多時間！菜色普通，沒特別好吃，牛肉偏鹹又乾。生魚片也普通動線很擠又亂，很難拿菜桌邊買單服務人員搞不清楚狀況收餐人員一直把用具收走最後20分鐘把餐具全部收走，趕客意味濃厚
謝佳吟,1,08/04 中午左右到此店消費，服務人員到桌邊結帳買單時，我們有問題詢問卻是得到超不禮貌的反應，就算你們暑假這陣子客人眾多，要服務很多人也不是這樣不耐煩的回答吧？雖然我也不認同顧客至上的道理，但不禮貌的回應已經影響我們用餐的心情，我們消費者並沒有欠你們什麼吧？何況你又是一個領班！
謝明光,5,菜肴豐富服務親切賓至如歸每天來都吃不膩!!!
白琪家,4,收盤迅速，環境保持乾淨還不錯
